ID,CURR_AGE,GENDER,ANN_INCOME,AGE_CAR,AGE_SEG,proba_logreg,pred_logreg,proba_logreg_aligned,pred_logreg_aligned,proba_xgb,pred_xgb,proba_xgb_aligned,pred_xgb_aligned
05397B07CK,54,F,1437312,283,2,0.899987279,1,0.437551614,0,0.3926818,0,0.4673364,0
86848B08CQ,62,F,1611444,365,3,0.984717256,1,0.819299039,1,0.84048223,1,0.9123432,1
22906W78AL,60,M,1283300,212,2,0.875042436,1,0.435166982,0,0.3793471,0,0.45451546,0
45389F82KX,38,F,1465158,169,1,0.897609909,1,0.421398683,0,0.35488656,0,0.26584652,0
68241U65JO,58,M,1821776,449,3,0.992941295,1,0.890891901,1,0.7862656,1,0.8949126,1
43891X14RC,59,M,1846298,210,2,0.966872124,1,0.623689288,1,0.3688033,0,0.447883,0
34587D00DA,58,M,1144551,174,1,0.792455806,1,0.339424947,0,0.34317377,0,0.55968213,1
88616I11UH,36,F,1024701,91,1,0.747686872,1,0.319603953,0,0.33949128,0,0.13704415,0
49122J54NF,29,M,979350,387,3,0.959385168,1,0.800254281,1,0.93134916,1,0.8767423,1
61385H03VO,50,M,1661522,219,2,0.953147453,1,0.577432659,1,0.5157269,1,0.58935815,1
58936R14SF,65,F,802717,253,2,0.616411593,1,0.258229617,0,0.33011448,0,0.18784258,0
86220V54VN,49,F,1478918,325,2,0.913675425,1,0.462947292,0,0.43210313,0,0.5071147,1
63676E09UO,25,F,1029303,689,4,0.971726173,1,0.843927431,1,0.8733012,1,0.73138636,1
75890J70NO,64,F,1868972,325,2,0.95958738,1,0.56852247,1,0.3539714,0,0.42311928,0
68606C11GV,56,M,1744071,196,1,0.946371886,1,0.524549487,1,0.37780893,0,0.4582725,0
56034R95VA,48,M,1608586,275,2,0.947979503,1,0.562663715,1,0.6104954,1,0.5971161,1
68007O74VG,53,M,626963,426,3,0.880719427,1,0.687717494,1,0.9430426,1,0.22780551,0
72851J39QG,35,M,793369,385,3,0.932470246,1,0.75214368,1,0.9288631,1,0.8225529,1
67768Z35EO,60,F,493015,276,2,0.438594136,0,0.232267197,0,0.44403622,0,0.07189915,0
82032Y17OQ,53,M,921829,362,3,0.939392166,1,0.74057601,1,0.90666795,1,0.8787255,1
25932M56LL,58,F,1071450,329,2,0.773971534,1,0.336283975,0,0.34961647,0,0.4705159,0
77296E81ZM,48,M,1677550,131,1,0.942432264,1,0.520734614,1,0.57073313,1,0.6252635,1
00749K03FQ,46,M,1421375,941,4,0.988868111,1,0.887224441,1,0.93555737,1,0.8835816,1
92419C68FB,65,F,665345,3,1,0.46213371,0,0.192820015,0,0.3364739,0,0.23575102,0
21589V78WG,56,M,535036,322,2,0.527629469,1,0.284408016,0,0.4242407,0,0.051980413,0
75360O80DW,39,M,1579580,292,2,0.949478252,1,0.573004662,1,0.6541931,1,0.57365596,1
21179R01JX,47,M,1318882,234,2,0.89895413,1,0.48074033,0,0.5861742,1,0.48622972,0
78827Q35LL,49,F,826528,441,3,0.912260036,1,0.685874149,1,0.89506316,1,0.8088193,1
93058B29OA,33,M,1250052,388,3,0.978050627,1,0.83789452,1,0.92616355,1,0.79769427,1
57288I36BN,28,F,718407,35,1,0.600669679,1,0.274646631,0,0.4074051,0,0.3064602,0
24427C44HL,60,M,1099822,152,1,0.769279492,1,0.322068211,0,0.3602378,0,0.49794993,0
57769A43WJ,50,M,1444567,478,3,0.983536535,1,0.836320513,1,0.8991605,1,0.8315177,1
55244P21JL,45,F,1383743,476,3,0.977881707,1,0.806079523,1,0.9184157,1,0.82825977,1
10878C69QP,60,F,1274520,273,2,0.847936827,1,0.383478098,0,0.35544196,0,0.4471589,0
00100T87PV,50,F,1555386,509,4,0.98976793,1,0.876616865,1,0.82578874,1,0.8822493,1
10657V33HY,36,M,1779657,908,4,0.995942274,1,0.937097486,1,0.92462903,1,0.9241679,1
35568Z72YA,46,F,1568521,364,3,0.985827062,1,0.834076248,1,0.9237315,1,0.9208051,1
76439P77YY,28,M,1220202,247,2,0.896278248,1,0.512047106,1,0.66705006,1,0.50442266,1
05814Y15VO,37,F,843116,395,3,0.925642986,1,0.718672786,1,0.8984567,1,0.78406,1
96427W84TS,29,F,1011093,17,1,0.756354003,1,0.334095857,0,0.55351585,1,0.31691304,0
95829F20IU,54,F,1751467,282,2,0.951989795,1,0.551628485,1,0.3926818,0,0.4145406,0
78491J25YN,50,F,1481056,479,3,0.981586181,1,0.812298473,1,0.8925796,1,0.811311,1
08349R64SN,51,F,1023285,248,2,0.766821135,1,0.343060758,0,0.4356318,0,0.24868493,0
77707I89CB,42,F,1008314,397,3,0.946819514,1,0.742771973,1,0.9104427,1,0.85327905,1
01439E69TI,37,F,946545,845,4,0.960481502,1,0.812334173,1,0.89047384,1,0.80415815,1
37023S20ZM,46,F,1362399,286,2,0.890992381,1,0.442707172,0,0.50004095,1,0.44971433,0
08736E08DD,30,M,1365515,515,4,0.989341993,1,0.899783764,1,0.93657833,1,0.90672284,1
83877U15TB,42,F,1157465,437,3,0.962834894,1,0.774202125,1,0.9104427,1,0.7919154,1
65904G65YK,34,M,768129,300,2,0.721208318,1,0.373276308,0,0.57818246,1,0.440482,0
61214G80ZN,55,F,879113,119,1,0.622725005,1,0.243729631,0,0.34122458,0,0.25231743,0
85691K09NH,40,F,897965,163,1,0.672931508,1,0.281528933,0,0.3044897,0,0.13714238,0
84131A41RV,47,M,1185438,110,1,0.827703091,1,0.380249563,0,0.52896446,1,0.5172884,1
34686I34DX,50,F,893051,207,2,0.705671983,1,0.31482299,0,0.4369907,0,0.35581613,0
49913C08MC,25,M,1477919,363,3,0.988593599,1,0.876067506,1,0.9300504,1,0.82243705,1
45447H02JK,28,F,645555,997,4,0.92672765,1,0.78475858,1,0.8684091,1,0.838192,1
96590B86BM,60,M,616767,864,4,0.909031151,1,0.75241713,1,0.9628115,1,0.73121613,1
11291R80DZ,41,F,1378658,117,1,0.872007145,1,0.392364611,0,0.29138055,0,0.27542576,0
37189N42UN,29,M,1493909,127,1,0.927755896,1,0.506164166,1,0.69207776,1,0.6184098,1
70335V50SH,55,F,1080001,43,1,0.732302665,1,0.2857955,0,0.34122458,0,0.4818124,0
05274S84AQ,46,F,1039901,363,3,0.948472568,1,0.740200972,1,0.9237315,1,0.8351284,1
06133O40VE,60,M,1779440,306,2,0.960608747,1,0.596871337,1,0.3793471,0,0.41555023,0
57289T50EW,61,F,1878164,491,3,0.992216413,1,0.875286706,1,0.8363988,1,0.8952806,1
73937S12OW,52,F,847439,301,2,0.676271604,1,0.298716508,0,0.33311653,0,0.23240732,0
89927G30NR,56,F,1234943,632,4,0.975799868,1,0.82719248,1,0.7652249,1,0.9191613,1
31470X06BS,54,M,670864,648,4,0.924636813,1,0.771494556,1,0.9453595,1,0.91626596,1
57578P16IZ,35,M,638483,57,1,0.582310052,1,0.289363298,0,0.6219502,1,0.16670026,0
98708I08VX,47,M,1727612,406,3,0.992127045,1,0.888703683,1,0.9281853,1,0.9461858,1
36958P04EX,54,F,907788,280,2,0.703788,1,0.308602087,0,0.3926818,0,0.24616101,0
53758C39CR,48,F,1082487,866,4,0.967882949,1,0.814583912,1,0.8532582,1,0.8692887,1
99157G28PR,62,F,1170677,74,1,0.760181118,1,0.292030815,0,0.3168179,0,0.4556612,0
87076V59OJ,25,M,620180,312,2,0.664218657,1,0.374137556,0,0.66195863,1,0.105095476,0
76764B06UP,47,M,1761085,85,1,0.953341137,1,0.557145103,1,0.52896446,1,0.5211256,1
27675L93OS,63,M,1661463,25,1,0.929701434,1,0.470455887,0,0.3431379,0,0.51161987,1
69692I70LT,35,M,699810,200,2,0.68289783,1,0.359404516,0,0.5137973,1,0.54158944,1
46154W39MF,59,M,1614879,223,2,0.94222585,1,0.533918305,1,0.3688033,0,0.4405153,0
52381S90GM,52,M,539135,157,1,0.471636987,0,0.239677019,0,0.43746504,0,0.082603455,0
10457N39YE,62,F,565738,230,2,0.478254017,0,0.235199253,0,0.44013995,0,0.08714161,0
40731K15FZ,46,F,1182844,226,2,0.838804734,1,0.400007398,0,0.50004095,1,0.4528746,0
06173N47SN,38,M,1491178,203,2,0.938353974,1,0.549440347,1,0.70177805,1,0.54685044,1
18532K46RW,62,M,1389961,588,4,0.985561072,1,0.864096669,1,0.80231035,1,0.93309003,1
18976W76SJ,29,F,1118045,217,2,0.843220947,1,0.428232888,0,0.65339136,1,0.51967925,1
97566A37BR,47,F,1241037,148,1,0.818103602,1,0.345957476,0,0.3014064,0,0.2864153,0
68707E12OX,34,F,1177567,286,2,0.855008584,1,0.431986897,0,0.6123354,1,0.49009642,0
30931S34VN,64,F,1497818,67,1,0.875809347,1,0.358754049,0,0.31354538,0,0.42361084,0
69546Q66TX,34,M,1442841,872,4,0.990797889,1,0.902292686,1,0.9228742,1,0.872288,1
59999L00PL,26,F,1149955,588,4,0.97873154,1,0.86016807,1,0.8992482,1,0.7665779,1
05678X36FB,50,M,1729710,440,3,0.991894768,1,0.885544917,1,0.8991605,1,0.9339759,1
53776P44MZ,50,F,842591,970,4,0.941550247,1,0.767848153,1,0.82578874,1,0.79134536,1
42983W11JW,32,M,728377,273,2,0.705483842,1,0.372193274,0,0.47378635,0,0.47164625,0
20545D80RB,61,M,772565,696,4,0.935964764,1,0.769491465,1,0.9030862,1,0.90793633,1
11046E28HA,54,F,1550310,111,1,0.900306028,1,0.400140991,0,0.34608552,0,0.4089343,0
93609N63NP,60,F,1993500,12,1,0.962529812,1,0.558683043,1,0.315702,0,0.315702,0
80643O81AC,31,F,989465,181,1,0.741799762,1,0.324207109,0,0.54083115,1,0.32462725,0
00393E86UP,41,F,1532052,89,1,0.909256337,1,0.430341129,0,0.29138055,0,0.24719955,0
46408E72XM,45,M,1847655,524,4,0.996205166,1,0.937014009,1,0.9338144,1,0.95386475,1
27402X64HA,53,M,1850319,282,2,0.969319786,1,0.640969009,1,0.44554898,0,0.47616422,0
05626Y20CY,55,F,396146,351,2,0.393448901,0,0.23739406,0,0.5018086,1,0.06636455,0
93004L90PZ,63,F,965953,962,4,0.949775551,1,0.76616319,1,0.76284665,1,0.8606138,1
98443X71XZ,52,M,1295563,473,3,0.975689318,1,0.812260069,1,0.8746941,1,0.72472656,1
25775Y84LZ,29,M,1061035,806,4,0.977610765,1,0.867684767,1,0.91814613,1,0.8640804,1
35718W19QL,41,F,1377534,310,2,0.899946019,1,0.460613807,0,0.50517076,1,0.4759583,0
29231R10EV,33,M,665540,280,2,0.669072818,1,0.359768032,0,0.5292025,1,0.49233243,0
48748J87TG,37,F,869555,254,2,0.724170053,1,0.341798613,0,0.5501158,1,0.33406398,0
11807D05SY,64,F,478022,740,4,0.845680198,1,0.686892122,1,0.89255923,1,0.4926662,0
21905X90RO,53,F,942670,410,3,0.930053639,1,0.704271023,1,0.9137272,1,0.8889058,1
10580L29VV,53,F,1589847,481,3,0.98544382,1,0.827989922,1,0.9137272,1,0.93876946,1
81228D18BO,48,F,1286785,838,4,0.98053549,1,0.846354398,1,0.8532582,1,0.8422538,1
34057Z27MM,47,M,1126751,496,3,0.96528774,1,0.792962176,1,0.9281853,1,0.8338628,1
12167K01BK,54,M,846810,347,2,0.714585042,1,0.338154201,0,0.41832688,0,0.44433028,0
06265P28JU,44,F,1323464,784,4,0.983007827,1,0.856716262,1,0.8892629,1,0.85043126,1
82049Z51KX,46,M,1831145,447,3,0.993990094,1,0.904992981,1,0.92643535,1,0.94622356,1
83239R16ZW,47,M,825272,331,2,0.719966374,1,0.350971673,0,0.5861742,1,0.48150873,0
49558V29YX,53,F,1080442,721,4,0.965872781,1,0.805364439,1,0.85358864,1,0.93590933,1
40464Z35MR,43,F,974609,315,2,0.761380887,1,0.35291629,0,0.471169,0,0.3024007,0
53644Q78VY,45,F,964490,376,3,0.939038783,1,0.727924536,1,0.9184157,1,0.83949816,1
69142F16CA,36,M,1551754,475,3,0.989238666,1,0.871462473,1,0.9332582,1,0.89654315,1
60492C50GZ,65,F,1723412,490,3,0.988021937,1,0.840181924,1,0.77846384,1,0.85605896,1
71614Z31OM,41,F,926999,405,3,0.936222313,1,0.728636546,1,0.91841966,1,0.8267194,1
03416B32RP,64,M,1779203,262,2,0.958802673,1,0.585684761,1,0.40032318,0,0.4082647,0
11077F22QA,50,M,1718761,609,4,0.994450692,1,0.919859447,1,0.8777424,1,0.95023954,1
08303G30SE,29,M,1488480,420,3,0.988370959,1,0.872289301,1,0.93134916,1,0.8250869,1
44241A27AO,51,F,892474,226,2,0.702968883,1,0.312178174,0,0.4356318,0,0.32467604,0
71374A23QL,34,M,667843,230,2,0.667801304,1,0.357329442,0,0.54358906,1,0.50113845,1
45803L99EN,36,F,1331330,5,1,0.864998746,1,0.395205638,0,0.33949128,0,0.26982895,0
27196C53UI,51,M,1930536,96,1,0.96761506,1,0.609870981,1,0.39248937,0,0.48113722,0
48370R51HV,63,M,590030,48,1,0.471930175,0,0.222289055,0,0.5201112,1,0.10150459,0
70649O76MN,63,M,1835340,718,4,0.995188017,1,0.92230407,1,0.7794336,1,0.9049436,1
82256A49ZW,43,F,1222677,120,1,0.818095053,1,0.352332271,0,0.25879565,0,0.27018276,0
38455W93II,43,M,1230491,482,3,0.974227602,1,0.818753812,1,0.9127086,1,0.83825225,1
56315E12TT,65,M,1456124,253,2,0.91078705,1,0.461906239,0,0.38677856,0,0.4397521,0
05941J55YU,59,M,1881539,132,1,0.960139359,1,0.569443912,1,0.34809762,0,0.4673225,0
25776I29OU,28,F,766852,30,1,0.629503837,1,0.281698411,0,0.5303171,1,0.2666382,0
34172K69PZ,57,F,1666075,146,1,0.921084657,1,0.438325262,0,0.29169676,0,0.44014415,0
72874V43ML,27,F,802199,148,1,0.652605247,1,0.289302176,0,0.5508183,1,0.31678718,0
97873N72SX,29,M,1132280,239,2,0.872572504,1,0.483645206,0,0.6671801,1,0.5205628,1
26516G80GC,51,F,712229,206,2,0.600652319,1,0.276918427,0,0.5300157,1,0.3465863,0
40274P55MR,29,M,806350,256,2,0.751051503,1,0.394092174,0,0.6671801,1,0.48908135,0
54543P85JE,33,F,534381,479,3,0.857086486,1,0.681199315,1,0.90662944,1,0.3944284,0
19722J93DS,41,F,1385414,603,4,0.985912042,1,0.867756316,1,0.8972571,1,0.8351173,1
37540D78FC,42,M,1028198,223,2,0.819397481,1,0.416954312,0,0.5709699,1,0.39056537,0
13796B47JK,59,F,1984906,409,3,0.994173084,1,0.894363418,1,0.7986896,1,0.8856287,1
29917A71GR,63,F,1888073,277,2,0.961835092,1,0.579362287,1,0.34426847,0,0.43136662,0
59447S66XJ,25,M,699550,407,3,0.924464751,1,0.76135369,1,0.91611904,1,0.835391,1
64886B88KU,41,M,874875,350,2,0.757351373,1,0.379890875,0,0.59448355,1,0.44443795,0
46269H09RK,41,F,1319138,297,2,0.88592406,1,0.446929954,0,0.50517076,1,0.4273775,0
45336V08BD,62,M,678474,495,3,0.883401565,1,0.672692776,1,0.8908025,1,0.85933465,1
97983J80LU,34,M,1471429,207,2,0.938148267,1,0.555095002,1,0.6356012,1,0.51715857,1
51286U10JL,38,F,954141,65,1,0.708024077,1,0.29937726,0,0.35488656,0,0.13589647,0
43022H92ZM,25,M,753347,966,4,0.954732979,1,0.832966404,1,0.87549335,1,0.7703049,1
58346H15ZX,61,M,1295814,365,3,0.973119343,1,0.795958609,1,0.80843455,1,0.75595355,1
23166I63YJ,54,F,476314,437,3,0.802685209,1,0.620478465,1,0.842312,1,0.2447003,0
52462Y27ZY,35,F,971872,193,1,0.724118662,1,0.310540721,0,0.46559957,0,0.29445273,0
70920O55KX,54,M,571604,186,1,0.486259321,0,0.239002687,0,0.48752427,0,0.11308208,0
98709G20PI,26,F,1085575,48,1,0.794895652,1,0.360104969,0,0.52374387,1,0.43467924,0
55930E81CD,39,M,1653474,22,1,0.944732339,1,0.537124736,1,0.5786984,1,0.59377784,1
36210A90KQ,64,F,1766409,147,1,0.932692298,1,0.459430857,0,0.31354538,0,0.35657635,0
62781M09BY,26,M,850135,457,3,0.946434046,1,0.782147144,1,0.92688996,1,0.8175718,1
77048U79FJ,41,F,1213824,389,3,0.967946666,1,0.787410872,1,0.91841966,1,0.8060232,1
81935K44NP,33,M,1005254,358,2,0.826113511,1,0.436370444,0,0.62740403,1,0.4397834,0
16888Q61UV,62,F,439156,512,4,0.835679884,1,0.689278087,1,0.8948616,1,0.51110125,1
65928O21SR,49,F,1184486,37,1,0.792206257,1,0.327650489,0,0.25399715,0,0.32935706,0
20018U08XQ,29,M,1358450,350,2,0.923627437,1,0.541894043,1,0.6671801,1,0.5027781,1
56924D67EA,41,F,1397190,434,3,0.979546117,1,0.815166888,1,0.91841966,1,0.79642326,1
29564G41BG,50,M,1847675,527,4,0.995981094,1,0.933537683,1,0.8777424,1,0.9258141,1
71896F80PA,26,F,557754,322,2,0.57637791,1,0.316665429,0,0.6585528,1,0.13816887,0
44742A00BG,59,F,598371,167,1,0.437574157,0,0.196476598,0,0.47270453,0,0.10325443,0
11658J08WM,64,M,669219,190,1,0.518796966,1,0.229313103,0,0.38876125,0,0.2950885,0
55452O90YS,26,M,1042011,230,2,0.84960041,1,0.46568485,0,0.7214065,1,0.52712536,1
74294H58DY,63,F,750529,164,1,0.521369046,1,0.205605855,0,0.38621,0,0.24330176,0
15977K59ZH,42,M,1655520,239,2,0.956474243,1,0.598039657,1,0.5709699,1,0.56202954,1
95668C24JX,65,M,574216,402,3,0.849190052,1,0.650189462,1,0.8923208,1,0.1873971,0
07424U03NQ,65,F,904445,132,1,0.610531889,1,0.228396325,0,0.31021646,0,0.23891643,0
01981T29OJ,46,F,881425,500,3,0.925130815,1,0.706315638,1,0.9237315,1,0.8579725,1
29186W84KX,52,M,414489,471,3,0.814035174,1,0.668500615,1,0.7359883,1,0.25325766,0
92243B76RF,28,F,934817,198,1,0.721617308,1,0.319232018,0,0.5398789,1,0.3318874,0
28205S80HO,43,M,1480846,1019,4,0.990722986,1,0.896616275,1,0.90625364,1,0.8903687,1
37818Z75NC,42,F,1208115,126,1,0.814331039,1,0.351862938,0,0.26218042,0,0.2679759,0
67259S33ZM,37,F,1023200,305,2,0.794397319,1,0.380273658,0,0.5501158,1,0.2713288,0
27953J71OC,36,F,1026002,82,1,0.748303608,1,0.31990066,0,0.33949128,0,0.13704415,0
58295S87JC,41,F,1527470,995,4,0.990102227,1,0.883597534,1,0.8972571,1,0.88045526,1
99531J37ES,37,M,1989666,336,2,0.981798418,1,0.726994897,1,0.63881755,1,0.63881755,1
30996D83MP,39,M,925909,13,1,0.732821622,1,0.33438069,0,0.5786984,1,0.30224434,0
85320O04OG,38,F,1406592,482,3,0.980680806,1,0.821523535,1,0.919882,1,0.8112898,1
79310U08QK,54,M,623865,407,3,0.878674841,1,0.684852379,1,0.9450052,1,0.23986441,0
74124A93UN,46,M,1345409,240,2,0.905842636,1,0.49007257,0,0.5926694,1,0.5111694,1
93094V67KV,46,M,1502822,226,2,0.934610649,1,0.529697119,1,0.5926694,1,0.5313302,1
38080K58AT,51,M,1213751,353,2,0.867053243,1,0.444451745,0,0.45829472,0,0.49098867,0
53708H11IZ,54,M,1803042,274,2,0.965194442,1,0.622238707,1,0.41832688,0,0.40836427,0
44884S97YQ,62,F,813357,456,3,0.89646495,1,0.649392203,1,0.84048223,1,0.861338,1
51952O29TX,35,F,1191707,478,3,0.968364471,1,0.795127937,1,0.9070538,1,0.7456184,1
27173V28DE,25,F,539264,66,1,0.498080592,0,0.259455928,0,0.5162367,1,0.08106172,0
66119P11GE,49,F,986341,295,2,0.75409931,1,0.33969164,0,0.43210313,0,0.3202671,0
44344D57JR,33,F,837035,811,4,0.950798519,1,0.799918413,1,0.893512,1,0.83014476,1
58870U01GS,52,M,1022277,398,3,0.952797292,1,0.762537461,1,0.8746941,1,0.8415558,1
58203M14GN,58,M,447108,271,2,0.466660982,0,0.272709737,0,0.47266084,0,0.09094245,0
21007I46PT,43,M,811134,407,3,0.929413482,1,0.738488233,1,0.9127086,1,0.7890301,1
71291I38KL,57,M,941447,482,3,0.939575301,1,0.736104422,1,0.7931776,1,0.8600263,1
72046A86KL,35,M,1252211,220,2,0.896259304,1,0.499715821,0,0.6544545,1,0.5181424,1
16057F65RU,41,F,851550,113,1,0.644103074,1,0.26849567,0,0.29138055,0,0.13022105,0
35809Y80PB,64,M,597441,362,3,0.857929585,1,0.655286015,1,0.8839449,1,0.14929475,0
55596O93OM,46,F,1390038,153,1,0.868732497,1,0.381332825,0,0.29552808,0,0.2890469,0
94487E68MJ,42,M,1604954,157,1,0.935962457,1,0.508754538,1,0.5048539,1,0.556822,1
50240H97SQ,29,F,675039,213,2,0.63836877,1,0.325240525,0,0.55763274,1,0.4598587,0
86775X83LF,36,F,1323476,392,3,0.976823794,1,0.813300468,1,0.92050356,1,0.8011581,1
53732F98DR,53,F,664211,1015,4,0.908559508,1,0.734596314,1,0.93046325,1,0.8853475,1
09162G28LV,65,M,1010576,143,1,0.715482278,1,0.289090253,0,0.32923475,0,0.24590988,0
78622I00CE,56,F,311791,719,4,0.798234549,1,0.688406908,1,0.929767,1,0.34559307,0
82980I08UK,53,F,1726881,409,3,0.989643173,1,0.858392338,1,0.9137272,1,0.94122356,1
17174V41DW,57,F,1158196,58,1,0.764935047,1,0.300862808,0,0.29169676,0,0.46242043,0
12289D49FN,58,F,1991511,23,1,0.9631756,1,0.563445025,1,0.28996062,0,0.28996062,0
93434B83IL,57,M,541753,456,3,0.850541378,1,0.666542902,1,0.8772384,1,0.14108118,0
40729A88VO,52,F,1544969,419,3,0.983916439,1,0.81957351,1,0.886927,1,0.8975071,1
70348D16MF,26,F,684257,301,2,0.651595492,1,0.334130745,0,0.6066269,1,0.5002979,1
67071A73XK,38,F,1134504,322,2,0.834798419,1,0.408129065,0,0.6193246,1,0.46673968,0
67079N76FD,43,M,1245243,277,2,0.885601667,1,0.474887014,0,0.5700277,1,0.51484275,1
95725L39QM,48,F,1016422,413,3,0.944308968,1,0.731100617,1,0.9332561,1,0.861831,1
05756L47BT,59,M,1372898,816,4,0.98544213,1,0.866179182,1,0.8111826,1,0.9437095,1
